tick,temps_s,x,y,z,vx,vy,vz,vitesse,vitesse_horizontale,vitesse_verticale,pression,masse,poids,portance,poussee,trainee,resultante_y,gaz_total,gaz_capacite,regime_max,stress_su,capacite_su,au_sol,surcharge,f_gravite_x,f_gravite_y,f_gravite_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_helice@62.4.2_x,f_helice@62.4.2_y,f_helice@62.4.2_z,f_helice@62.4.22_x,f_helice@62.4.22_y,f_helice@62.4.22_z,f_helice@66.4.12_x,f_helice@66.4.12_y,f_helice@66.4.12_z,f_trainee_x,f_trainee_y,f_trainee_z
180,9.0,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
185,9.25,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
190,9.5,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
195,9.75,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
200,10.0,0.0032,9.7474,-0.0004,0.06433,0.0,-0.00738,0.06475,0.06475,0.0,1.23731,2116.25,23278.75,8846.78,2825.06,0.0,-13914.619,433.33,4505,256.0,7680.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,779.524,146.162,-89.384,779.524,146.162,-89.384,1200.155,225.031,-137.616,0.0,-0.0,-0.0
205,10.25,0.0647,9.7474,-0.0074,0.36156,0.0,-0.04146,0.36393,0.36393,0.0,1.23731,2116.25,23278.75,8846.78,2825.06,345.53,-13914.619,433.33,4505,256.0,7680.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,779.524,146.162,-89.384,779.524,146.162,-89.384,1200.155,225.031,-137.616,-343.285,-0.0,39.363
210,10.5,0.1948,9.7474,-0.0223,0.6218,0.0,-0.0713,0.62588,0.62588,0.0,1.23731,2116.25,23278.75,8846.78,2825.06,648.08,-13914.619,433.33,4505,256.0,7680.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,779.524,146.162,-89.384,779.524,146.162,-89.384,1200.155,225.031,-137.616,-643.861,-0.0,73.829
215,10.75,0.385,9.7474,-0.0441,0.84967,0.0,-0.09743,0.85524,0.85524,0.0,1.23731,2116.25,23278.75,8846.78,2825.06,912.98,-13914.619,433.33,4505,256.0,7680.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,779.524,146.162,-89.384,779.524,146.162,-89.384,1200.155,225.031,-137.616,-907.04,-0.0,104.006
220,11.0,0.6279,9.7474,-0.072,1.04919,0.0,-0.12031,1.05606,1.05606,0.0,1.23731,2116.25,23278.75,8846.78,2825.06,1144.93,-13914.619,433.33,4505,256.0,7680.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,779.524,146.162,-89.384,779.524,146.162,-89.384,1200.155,225.031,-137.616,-1137.476,-0.0,130.429
225,11.25,0.9169,9.7474,-0.1051,1.22388,0.0,-0.14034,1.2319,1.2319,0.0,1.23731,2116.25,23278.75,8846.78,2825.06,1348.02,-13914.619,433.33,4505,256.0,7680.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,779.524,146.162,-89.384,779.524,146.162,-89.384,1200.155,225.031,-137.616,-1339.243,-0.0,153.565
