tick,temps_s,x,y,z,vx,vy,vz,vitesse,vitesse_horizontale,vitesse_verticale,pression,masse,poids,portance,poussee,trainee,resultante_y,gaz_total,gaz_capacite,regime_max,stress_su,capacite_su,au_sol,surcharge,f_gravite_x,f_gravite_y,f_gravite_z,f_ballon_x,f_ballon_y,f_ballon_z,f_helice@11.10.10_x,f_helice@11.10.10_y,f_helice@11.10.10_z,f_helice@21.10.10_x,f_helice@21.10.10_y,f_helice@21.10.10_z,f_trainee_x,f_trainee_y,f_trainee_z
1045,52.25,0.0,156.2725,0.0,0.0,0.02445,0.0,0.02445,0.0,0.02445,0.68788,1856.75,20424.25,20430.23,0.0,18.15,-12.167,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20430.229,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.147,-0.0
1050,52.5,0.0,156.2784,0.0,0.0,0.02288,0.0,0.02288,0.0,0.02288,0.68787,1856.75,20424.25,20429.74,0.0,16.98,-11.488,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20429.742,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-16.98,-0.0
1055,52.75,0.0,156.2839,0.0,0.0,0.02139,0.0,0.02139,0.0,0.02139,0.68785,1856.75,20424.25,20429.29,0.0,15.88,-10.843,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20429.286,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-15.879,-0.0
1060,53.0,0.0,156.289,0.0,0.0,0.01999,0.0,0.01999,0.0,0.01999,0.68784,1856.75,20424.25,20428.86,0.0,14.84,-10.23,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20428.86,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-14.84,-0.0
1065,53.25,0.0,156.2938,0.0,0.0,0.01867,0.0,0.01867,0.0,0.01867,0.68782,1856.75,20424.25,20428.46,0.0,13.86,-9.648,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20428.462,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-13.86,-0.0
1070,53.5,0.0,156.2983,0.0,0.0,0.01742,0.0,0.01742,0.0,0.01742,0.68781,1856.75,20424.25,20428.09,0.0,12.94,-9.096,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20428.091,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-12.936,-0.0
1075,53.75,0.0,156.3025,0.0,0.0,0.01625,0.0,0.01625,0.0,0.01625,0.6878,1856.75,20424.25,20427.74,0.0,12.07,-8.571,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20427.744,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-12.065,-0.0
1080,54.0,0.0,156.3064,0.0,0.0,0.01514,0.0,0.01514,0.0,0.01514,0.68779,1856.75,20424.25,20427.42,0.0,11.24,-8.074,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20427.421,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-11.245,-0.0
1085,54.25,0.0,156.31,0.0,0.0,0.0141,0.0,0.0141,0.0,0.0141,0.68778,1856.75,20424.25,20427.12,0.0,10.47,-7.602,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20427.119,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-10.472,-0.0
1090,54.5,0.0,156.3134,0.0,0.0,0.01312,0.0,0.01312,0.0,0.01312,0.68777,1856.75,20424.25,20426.84,0.0,9.74,-7.155,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20426.839,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9.744,-0.0
