tick,temps_s,x,y,z,vx,vy,vz,vitesse,vitesse_horizontale,vitesse_verticale,pression,masse,poids,portance,poussee,trainee,resultante_y,gaz_total,gaz_capacite,regime_max,stress_su,capacite_su,au_sol,surcharge,f_gravite_x,f_gravite_y,f_gravite_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_helice@63.4.2_x,f_helice@63.4.2_y,f_helice@63.4.2_z,f_helice@63.4.22_x,f_helice@63.4.22_y,f_helice@63.4.22_z,f_helice@67.4.12_x,f_helice@67.4.12_y,f_helice@67.4.12_z,f_trainee_x,f_trainee_y,f_trainee_z
170,8.5,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
175,8.75,0.0,9.6275,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
180,9.0,0.0,9.6275,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
185,9.25,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
190,9.5,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
195,9.75,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
200,10.0,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
205,10.25,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
210,10.5,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
215,10.75,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
220,11.0,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
225,11.25,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
230,11.5,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
235,11.75,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
240,12.0,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
